stock1,stock2,sector,industry,category1,category2,location1,location2,currency1,currency2,isLassoApproved,rank_score,lsr_percentile_2024,lsr_percentile_2023,lsr_percentile_2022,ed_percentile_2024,ed_percentile_2023,ed_percentile_2022
PAA,PAGP,Energy,Oil & Gas Midstream,PLAINS ALL AMERICAN PIPELINE LP,PLAINS GP HOLDINGS LP,Texas; U.S.A,Texas; U.S.A,USD,USD,FALSE,99.8,100,99,100,100,100,100
BEP,BEPC,Utilities,Utilities - Renewable,BROOKFIELD RENEWABLE PARTNERS LP,BROOKFIELD RENEWABLE CORP,Bermuda,New York; U.S.A,USD,USD,TRUE,98.5,97,100,95,99,99,100
MCO,SPGI,Financial Services,Financial Data & Stock Exchanges,MOODYS CORP,S&P GLOBAL INC,New York; U.S.A,New York; U.S.A,USD,USD,TRUE,98.5,97,98,98,100,99,99
ASB,HBAN,Financial Services,Banks - Regional,ASSOCIATED BANC-CORP,HUNTINGTON BANCSHARES INC,Wisconsin; U.S.A,Ohio; U.S.A,USD,USD,FALSE,98.5,99,99,98,99,97,99
KNX,WERN,Industrials,Trucking,KNIGHT-SWIFT TRANSPORTATION HOLDINGS INC,WERNER ENTERPRISES INC,Arizona; U.S.A,Nebraska; U.S.A,USD,USD,TRUE,98.4,96,99,99,99,99,99
FTS,LNT,Utilities,Utilities - Regulated Electric,FORTIS INC,ALLIANT ENERGY CORP,Newfoundland; Canada,Wisconsin; U.S.A,USD,USD,FALSE,98.4,100,97,94,99,99,100
LADR,RITM,Real Estate,REIT - Mortgage,LADDER CAPITAL CORP,RITHM CAPITAL CORP,New York; U.S.A,New York; U.S.A,USD,USD,FALSE,98.3,99,98,92,100,99,99
HBAN,WTFC,Financial Services,Banks - Regional,HUNTINGTON BANCSHARES INC,WINTRUST FINANCIAL CORP,Ohio; U.S.A,Illinois; U.S.A,USD,USD,FALSE,97.9,100,94,98,99,98,99
AM,WES,Energy,Oil & Gas Midstream,ANTERO MIDSTREAM CORP,WESTERN MIDSTREAM PARTNERS LP,Colorado; U.S.A,Texas; U.S.A,USD,USD,FALSE,97.8,96,100,95,99,98,97
ARCC,TSLX,Financial Services,Asset Management,ARES CAPITAL CORP,SIXTH STREET SPECIALTY LENDING INC,New York; U.S.A,Texas; U.S.A,USD,USD,TRUE,97.6,91,99,99,100,99,99
ABCB,CADE,Financial Services,Banks - Regional,AMERIS BANCORP,CADENCE BANK,Georgia; U.S.A,Mississippi; U.S.A,USD,USD,FALSE,97.4,94,97,99,99,98,99
CADE,HOPE,Financial Services,Banks - Regional,CADENCE BANK,HOPE BANCORP INC,Mississippi; U.S.A,California; U.S.A,USD,USD,FALSE,97.3,98,100,85,99,98,98
CMS,FTS,Utilities,Utilities - Regulated Electric,CMS ENERGY CORP,FORTIS INC,Michigan; U.S.A,Newfoundland; Canada,USD,USD,FALSE,97.3,100,91,95,99,99,100
CADE,HBAN,Financial Services,Banks - Regional,CADENCE BANK,HUNTINGTON BANCSHARES INC,Mississippi; U.S.A,Ohio; U.S.A,USD,USD,FALSE,97.2,97,94,99,99,97,99
FFBC,ONB,Financial Services,Banks - Regional,FIRST FINANCIAL BANCORP,OLD NATIONAL BANCORP,Ohio; U.S.A,Indiana; U.S.A,USD,USD,FALSE,97.2,95,92,100,100,99,100
FTS,OGE,Utilities,Utilities - Regulated Electric,FORTIS INC,OGE ENERGY CORP,Newfoundland; Canada,Oklahoma; U.S.A,USD,USD,FALSE,97.1,99,97,83,99,99,100
BSM,CTRA,Energy,Oil & Gas E&P,BLACK STONE MINERALS LP,COTERRA ENERGY INC,Texas; U.S.A,Texas; U.S.A,USD,USD,FALSE,96.6,99,99,96,96,98,86
CADE,USB,Financial Services,Banks - Regional,CADENCE BANK,US BANCORP,Mississippi; U.S.A,Minnesota; U.S.A,USD,USD,FALSE,96.6,100,100,76,99,98,96
HBAN,SNV,Financial Services,Banks - Regional,HUNTINGTON BANCSHARES INC,SYNOVUS FINANCIAL CORP,Ohio; U.S.A,Georgia; U.S.A,USD,USD,FALSE,96.6,100,90,96,98,98,98
DTM,WMB,Energy,Oil & Gas Midstream,DT MIDSTREAM INC,WILLIAMS COMPANIES INC,Michigan; U.S.A,Oklahoma; U.S.A,USD,USD,FALSE,96.5,92,98,90,99,99,99
DRH,HST,Real Estate,REIT - Hotel & Motel,DIAMONDROCK HOSPITALITY CO,HOST HOTELS & RESORTS INC,Maryland; U.S.A,Maryland; U.S.A,USD,USD,FALSE,96.5,99,87,98,100,98,99
CMI,ITW,Industrials,Specialty Industrial Machinery,CUMMINS INC,ILLINOIS TOOL WORKS INC,Indiana; U.S.A,Illinois; U.S.A,USD,USD,FALSE,96.5,95,94,96,98,98,99
HBAN,WBS,Financial Services,Banks - Regional,HUNTINGTON BANCSHARES INC,WEBSTER FINANCIAL CORP,Ohio; U.S.A,Connecticut; U.S.A,USD,USD,FALSE,96.2,89,97,97,99,98,99
QGEN,TMO,Healthcare,Diagnostics & Research,QIAGEN NV,THERMO FISHER SCIENTIFIC INC,Netherlands,Massachusetts; U.S.A,USD,USD,FALSE,96.2,95,90,99,99,99,97
FTS,WEC,Utilities,Utilities - Regulated Electric,FORTIS INC,WEC ENERGY GROUP INC,Newfoundland; Canada,Wisconsin; U.S.A,USD,USD,FALSE,95.9,99,86,91,100,99,100
ET,MPLX,Energy,Oil & Gas Midstream,ENERGY TRANSFER LP,MPLX LP,Texas; U.S.A,Ohio; U.S.A,USD,USD,FALSE,95.8,94,88,99,99,99,99
HOPE,USB,Financial Services,Banks - Regional,HOPE BANCORP INC,US BANCORP,California; U.S.A,Minnesota; U.S.A,USD,USD,FALSE,95.8,98,91,94,98,96,98
CADE,WBS,Financial Services,Banks - Regional,CADENCE BANK,WEBSTER FINANCIAL CORP,Mississippi; U.S.A,Connecticut; U.S.A,USD,USD,FALSE,95.4,93,89,98,99,98,98
DHR,TMO,Healthcare,Diagnostics & Research,DANAHER CORP,THERMO FISHER SCIENTIFIC INC,District Of Columbia; U.S.A,Massachusetts; U.S.A,USD,USD,TRUE,95.4,86,96,94,99,99,100
PB,PNC,Financial Services,Banks - Regional,PROSPERITY BANCSHARES INC,PNC FINANCIAL SERVICES GROUP INC,Texas; U.S.A,Pennsylvania; U.S.A,USD,USD,FALSE,95.4,99,93,75,100,98,99
OZK,WBS,Financial Services,Banks - Regional,BANK OF THE OZARKS INC,WEBSTER FINANCIAL CORP,Arkansas; U.S.A,Connecticut; U.S.A,USD,USD,FALSE,95.4,92,96,100,95,95,98
